[  230760ms] [LOG] FPS: 40.12134259712301 | Frame avg: 24.924390243902433ms | Frame max: 32.1        ms | Game avg: 0.004878048780487806ms | Render avg: 0.012195121951219513ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  235764ms] [LOG] FPS: 42.21066064592126 | Frame avg: 23.690697674418615ms | Frame max: 34.2        ms | Game avg: 0.0         ms | Render avg: 0.009302325581395349ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  240744ms] [LOG] FPS: 40.82445484417007 | Frame avg: 24.49512195121951ms | Frame max: 33.4        ms | Game avg: 0.0         ms | Render avg: 0.002439024390243903ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  245773ms] [LOG] FPS: 44.05286343612334 | Frame avg: 22.700000000000006ms | Frame max: 34.5        ms | Game avg: 0.0022222222222222227ms | Render avg: 0.004444444444444445ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  250776ms] [LOG] FPS: 42.214804633811106 | Frame avg: 23.688372093023258ms | Frame max: 33.9        ms | Game avg: 0.004651162790697674ms | Render avg: 0.004651162790697674ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  255745ms] [LOG] FPS: 41.92667706708268 | Frame avg: 23.851162790697675ms | Frame max: 34.0        ms | Game avg: 0.002325581395348837ms | Render avg: 0.011627906976744188ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  260774ms] [LOG] FPS: 41.70804369414101 | Frame avg: 23.976190476190478ms | Frame max: 33.2        ms | Game avg: 0.009523809523809525ms | Render avg: 0.0071428571428571435ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  265778ms] [LOG] FPS: 42.3228346456693 | Frame avg: 23.627906976744182ms | Frame max: 33.9        ms | Game avg: 0.002325581395348837ms | Render avg: 0.0069767441860465115ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  270763ms] [LOG] FPS: 41.55124653739612 | Frame avg: 24.06666666666667ms | Frame max: 33.9        ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  275761ms] [LOG] FPS: 40.804140127388536 | Frame avg: 24.507317073170732ms | Frame max: 33.300000000000004ms | Game avg: 0.012195121951219513ms | Render avg: 0.014634146341463417ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  280763ms] [LOG] FPS: 52.0526419171086 | Frame avg: 19.21132075471699ms | Frame max: 24.800000000000004ms | Game avg: 0.0056603773584905665ms | Render avg: 0.013207547169811323ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  285776ms] [LOG] FPS: 41.861855875610495 | Frame avg: 23.888095238095236ms | Frame max: 34.300000000000004ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  290775ms] [LOG] FPS: 41.674935503076 | Frame avg: 23.9952380952381ms | Frame max: 41.2        ms | Game avg: 0.0         ms | Render avg: 0.002380952380952381ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  295751ms] [LOG] FPS: 37.6984126984127 | Frame avg: 26.526315789473678ms | Frame max: 86.8        ms | Game avg: 0.0         ms | Render avg: 0.010526315789473684ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  300771ms] [LOG] FPS: 42.77330150203919 | Frame avg: 23.379069767441862ms | Frame max: 34.7        ms | Game avg: 0.0         ms | Render avg: 0.013953488372093023ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  305765ms] [LOG] FPS: 36.71363365747171 | Frame avg: 27.237837837837844ms | Frame max: 33.5        ms | Game avg: 0.0         ms | Render avg: 0.010810810810810811ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  310768ms] [LOG] FPS: 39.54522985664853 | Frame avg: 25.28750000000001ms | Frame max: 33.800000000000004ms | Game avg: 0.0         ms | Render avg: 0.0025      ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[  315776ms] [LOG] FPS: 40.421965887804404 | Frame avg: 24.739024390243898ms | Frame max: 34.2        ms | Game avg: 0.0         ms | Render avg: 0.009756097560975611ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  320768ms] [LOG] FPS: 40.61416542842992 | Frame avg: 24.621951219512194ms | Frame max: 34.5        ms | Game avg: 0.0         ms | Render avg: 0.004878048780487806ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
